Period,Sales,Operating_Profit,OPM_Percent,Other_Income,Interest,Depreciation,Profit_Before_Tax,Net_Profit,EPS
Jun-23,26246,2543,10,5648,13972,0,8192,6113,19.78
Sep-23,27418,2609,10,5705,14749,0,8314,6230,20.13
Dec-23,28865,2416,8,6272,15943,0,8688,6520,21.05
Mar-24,30231,2379,8,7606,16727,0,9985,7630,24.62
Jun-24,31159,2006,6,6637,17261,0,8643,6467,20.83
Sep-24,31601,1575,5,7603,17615,0,9177,7436,23.93
Dec-24,32162,2210,7,6797,18040,0,9007,6779,21.78
Mar-25,32452,2389,7,7506,18121,0,9895,7509,24.13
Jun-25,32348,127,0,8053,18239,0,8180,6279,20.13
Sep-25,32310,36,0,7460,17971,0,7496,5567,17.82
Dec-25,33709,2181,6,7189,18785,0,9371,7060,22.58
Mar-26,34171,275,1,6972,19080,0,7247,7642,24.46
Jun-26,35542,2490,7,7671,20215,0,10161,7670,24.54
